"DATA for Simon Gaechter and Jonathan Schulz: Intrinsic Honesty and Prevalence of Rule Violations across Societies, Nature (2016) doi:10.1038/nature17160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See README for list of variable labels and SUPPLEMENTARY INFORMATION for detailed descriptions, data sources and references",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,city,location,sessionid,subjectid,insample,prevexp,lowstakes,number,payouts,high,five,six,female,age,middleclass,urban,economics,religious,numknown,q_fair,q_norm,PRV2003,wgi_corrup1996,wgi_corrup2003,wgi_corrup2012,bs_SE1999,bs_SE2003,bs_SE2007,fh_polrights_s2003,fh_polrights_s2012,fh_polrights_2006woC,pol_xconst1990_2000,pol_xconst1890_1900,wgi_goveff2000,GDP_1990_2000,hfs_idv,iw_tradrat,iw_survself,tbl_exconst,tbl_legor_uk,tbl_legor_fr,tbl_pc_tr_tol_all,tbl_prim_newbound_1930,tbl_lyp_m80_00,tbl_lan,sw_fst_distance_weighted,lp_legor_uk,lp_legor_fr,lp_legor_ge,lp_legor_sc,ajr_africa,ajr_lat_abst,ajr_avexpr,ajr_logem4,ajr_asia,ajr_baseco,sr_Belief_in_Heaven,sr_Belief_in_Hell,p_elf85
India,,,,,0,,,,,,,,,,,,,,,,,-0.53471363,-0.40250987,-0.43556032,-0.56526482,23.200001,22.299999,20.700001,31,34,25,7,,-0.13922879,1.1905984,48,-0.36000001,-0.20999999,6.9512196,1,0,-0.019086288,11.3,7.4143043,-1,604.38745,1,0,0,0,0,0.22220001,8.272727,3.8842406,1,1,0.56,0.56,0.88
Bahamas,,,,,0,,,,,,,,,,,,,,,,,-1.7509713,1.202001,1.3993117,1.3432914,26.299999,27,26.200001,37,38,28,,,1.2467695,19.945641,,,,,1,0,,89.099998,9.71278,,1244.2551,1,0,0,0,0,0.26833332,7.5,4.4426513,0,1,,,0.41
Botswana,,,,,0,,,,,,,,,,,,,,,,,-1.2683475,0.58598256,1.2496713,0.93950695,33.900002,33,31.9,34,29,22,6.3636365,,0.51024818,6.1787648,,,,6.8571429,1,0,,,8.5123301,,2007.6465,1,0,0,0,1,0.24444444,7.7272725,,0,,,,0.4
Bolivia,,,,,0,,,,,,,,,,,,,,,,,1.6578985,-0.89952123,-0.79350972,-0.70373261,67,67.699997,63.5,31,28,23,7,3,-0.33243757,2.746551,,,,4.1707315,0,1,,,7.866652,,1157.5732,0,1,0,0,0,0.18888889,5.6363635,4.2626801,0,1,,,0.74
Belarus,,,,,0,,,,,,,,,,,,,,,,,1.6437602,-0.93073142,-0.70494634,-0.52290177,48.299999,47,43.299999,9,4,4,4.0999999,,-0.64777827,4.1699667,,0.88999999,-1.23,4.0999999,0,0,0.002226667,,8.865159,,391.54068,0,0,1,0,0,0.58888888,,,0,,0.34,0.39,0.37
Iraq,,,,,0,,,,,,,,,,,,,,,,,,-1.5348922,-1.217936,-1.2291151,,,,-2,12,7,1,,-1.8657016,,30,-0.40000001,-1.6799999,1,0,1,0.45176232,3.8,,-1,486.10962,0,1,0,0,0,0.36666667,1.6363636,,1,,1,0.99,0.38
Occupied Palestinian Territory,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,0,,,,,,,,,,,,,,,,,0.019682417,-0.44192848,-0.4505915,-0.75007528,33.400002,33.900002,34,30,31,22,4.2727275,,-0.19404417,3.42713,,,,4.0285716,1,0,,64.199997,7.848763,,1053.0729,1,0,0,0,0,0.055555556,5.8863635,3.4713452,0,1,,,0.57
Equatorial Guinea,,,,,0,,,,,,,,,,,,,,,,,1.752485,-1.2541813,-1.5513824,-1.5600853,32.700001,31.200001,30.1,3,1,,1.7272727,,-1.5120127,2.2948875,,,,1.3636364,0,1,,,7.4602814,,2052.8911,0,1,0,0,,,,,,,,,0.47
Macao Special Administrative Region of China,,,,,0,,,,,,,,,,,,,,,,,,0.44343102,0.83345872,0.44998384,13.3,12.5,11.1,,,,,,0.60990375,,,,,,,,,,,,,0,1,0,0,,,,,,,,,
